# 361 data with intensity information, current angle: -51.5249
9 0 9 8507
8.99966 0.0785388 9 8488
8.99863 0.157072 9 8498
9.99657 0.261769 10 8498
8.99452 0.314095 9 8498
9.99048 0.436194 10 8498
8.98767 0.471024 9 8478
9.98135 0.610485 10 8488
8.97808 0.627808 9 8478
9.96917 0.784591 10 8468
9.96195 0.871557 10 8468
9.95396 0.958458 10 8449
9.94522 1.04528 10 8440
9.93572 1.13203 10 8440
9.92546 1.21869 10 8420
9.91445 1.30526 10 8411
9.90268 1.39173 10 8411
9.89016 1.47809 10 8401
9.87688 1.56434 10 8392
9.86286 1.65048 10 8364
9.84808 1.73648 10 8373
9.83255 1.82236 10 8345
9.81627 1.90809 10 8335
9.79925 1.99368 10 8326
10.7596 2.28703 11 8364
22.4548 4.97811 23 8868
22.4105 5.17387 23 8687
24.3092 5.83613 25 8824
27.1683 6.77381 28 8941
33.8852 8.7633 35 9651
39.603 10.6116 41 9950
46.2543 12.8274 48 10128
52.8694 15.1601 55 10226
51.7763 15.3368 54 9356
54.5094 16.6652 57 8905
8.58345 2.70635 9 7242
9.51057 3.09017 10 7362
776.677 259.873 819 32767
774.38 266.64 819 32767
102.748 36.3849 109 8182
769.608 280.114 819 32767
767.135 286.82 819 32767
97.0924 37.2703 104 8373
93.9722 37.0166 101 8411
89.9368 36.3368 97 8449
88.6924 36.7376 96 8468
87.448 37.1195 95 8498
86.2036 37.4824 94 8488
84.0462 37.4198 92 8517
82.8065 37.7371 91 8517
81.5677 38.0356 90 8517
80.3301 38.3155 89 8517
78.1951 38.1383 87 8517
76.0694 37.9268 85 8498
74.8445 38.1352 84 8517
73.6219 38.3251 83 8507
72.4017 38.4967 82 8527
71.1842 38.6499 81 8527
69.9696 38.7848 80 8517
68.7581 38.9015 79 8536
67.55 39 78 8536
67.2071 39.588 78 8546
66.859 40.173 78 8546
64.8007 39.7099 76 8556
63.6036 39.7439 75 8575
61.5676 39.2229 73 8565
61.223 39.7586 73 8565
60.0398 39.7395 72 8556
59.6907 40.2619 72 8546
57.6888 39.6484 70 8536
56.5215 39.5768 69 8536
56.174 40.0685 69 8546
55.0132 39.9694 68 8536
53.8584 39.8531 67 8536
51.9113 39.118 65 8546
49.9813 38.352 63 8527
50.4327 39.4023 64 8536
49.3043 39.2184 63 8517
47.4059 38.3885 61 8517
46.2975 38.1647 60 8517
45.9627 38.5673 60 8507
44.864 38.3174 59 8517
43.7732 38.0514 58 8517
44.1884 39.0946 59 8478
43.1024 38.8096 58 8488
42.0248 38.5086 57 8449
40.9558 38.1919 56 8517
39.1702 37.1711 54 8507
39.5637 38.2062 55 8517
39.2288 38.55 55 8517
38.8909 38.8909 55 8488
37.8491 38.5155 54 8488
36.8169 38.125 53 8517
35.7944 37.7195 52 8507
34.7819 37.299 51 8517
34.4551 37.6011 51 8517
34.1257 37.9004 51 8517
33.131 37.4478 50 8517
32.803 37.7355 50 8507
32.4724 38.0203 50 8507
30.8538 36.7701 48 8517
31.1678 37.8096 49 8507
30.2074 37.303 48 8517
30.5032 38.3478 49 8488
29.5518 37.8245 48 8507
28.6118 37.2876 47 8498
